old_clade	new_clade	cutoff	divergence_addition	divergence_scale	min_size	bushiness_branch_scale	branch_length_scale	score	bushiness	div	branch_score
9	21	1.3	0.5	5.0	10.0	9.0	5.0	0.8732033625911177	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	13	1.3	0.5	5.0	20.0	9.0	5.0	0.8802700573748791	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	10	1.3	0.5	5.0	30.0	9.0	5.0	0.8839755727309062	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	35	1.3	0.7	5.0	10.0	9.0	5.0	1.008754326032611	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	22	1.3	0.7	5.0	20.0	9.0	5.0	1.030724992092402	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	17	1.3	0.7	5.0	30.0	9.0	5.0	1.0386079055134003	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	51	1.3	0.9	5.0	10.0	9.0	5.0	1.1497407329059697	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	32	1.3	0.9	5.0	20.0	9.0	5.0	1.1853136697793418	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	24	1.3	0.9	5.0	30.0	9.0	5.0	1.1999328813004606	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	62	1.3	1.1	5.0	10.0	9.0	5.0	1.298080158352533	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	38	1.3	1.1	5.0	20.0	9.0	5.0	1.3456406615490575	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	27	1.3	1.1	5.0	30.0	9.0	5.0	1.3673142865086407	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	14	1.4	0.5	5.0	10.0	9.0	5.0	0.8824979683968748	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	10	1.4	0.5	5.0	20.0	9.0	5.0	0.888479885120841	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	8	1.4	0.5	5.0	30.0	9.0	5.0	0.8910446502862309	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	31	1.4	0.7	5.0	10.0	9.0	5.0	1.01886377159052	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	19	1.4	0.7	5.0	20.0	9.0	5.0	1.03896470402298	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	14	1.4	0.7	5.0	30.0	9.0	5.0	1.0468476174439783	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	42	1.4	0.9	5.0	10.0	9.0	5.0	1.1650228120758563	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	24	1.4	0.9	5.0	20.0	9.0	5.0	1.1984669560844543	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	19	1.4	0.9	5.0	30.0	9.0	5.0	1.2074399353327414	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	57	1.4	1.1	5.0	10.0	9.0	5.0	1.3068370105897489	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	34	1.4	1.1	5.0	20.0	9.0	5.0	1.352702817147484	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	25	1.4	1.1	5.0	30.0	9.0	5.0	1.3731532938022588	0.2788825003690834	0.09102154929577501	0.16227915282853625
